ISD-AS,IP,Port,Payload
17-ffaa:0:1117,465744645,34524,{"NonceB":3068357128}
17-ffaa:0:1117,3368399508,23882,{"NonceB":2227365333}
17-ffaa:0:1117,1644724766,62317,{"NonceB":1656063231}
17-ffaa:0:1118,3061694406,45790,{"NonceB":616766472}
17-ffaa:0:111a,442963922,10906,{"NonceB":2892030222}
17-ffaa:0:1118,1433140432,25345,{"NonceB":2541706256}
17-ffaa:0:1118,2389557284,17883,{"NonceB":3583902928}
17-ffaa:0:111a,1236421918,61825,{"NonceB":119621827}
17-ffaa:0:1117,519974984,64967,{"NonceB":1555612023}
17-ffaa:0:1118,485693825,37369,{"NonceB":3082917860}
17-ffaa:0:1117,2389194893,8755,{"NonceB":3902936598}
17-ffaa:0:1118,836640385,42278,{"NonceB":2768498553}
17-ffaa:0:1118,1796103935,33294,{"NonceB":2422541806}
17-ffaa:0:1117,4022720273,48367,{"NonceB":3003406135}
17-ffaa:0:111b,407200033,20526,{"NonceB":3660055846}
17-ffaa:0:1117,1999135688,20921,{"NonceB":104139727}
17-ffaa:0:111b,3267396429,36684,{"NonceB":551360836}
17-ffaa:0:1118,1720511051,51936,{"NonceB":3572507148}
17-ffaa:0:1118,2577784230,47066,{"NonceB":18032609}
17-ffaa:0:111b,491815315,59635,{"NonceB":4056778633}
17-ffaa:0:1117,539989728,27235,{"NonceB":4158765929}
17-ffaa:0:111a,1581462639,1853,{"NonceB":2153510427}
17-ffaa:0:111b,3567746467,26630,{"NonceB":3586215570}
17-ffaa:0:1117,3040025547,20672,{"NonceB":2048986728}
17-ffaa:0:1117,3332560059,57453,{"NonceB":616010845}
17-ffaa:0:1117,1834232719,4921,{"NonceB":1330587494}
17-ffaa:0:1118,788741152,12277,{"NonceB":2455885529}
17-ffaa:0:1117,1969475060,12944,{"NonceB":2161330445}
17-ffaa:0:111a,1226247087,9575,{"NonceB":206354900}
17-ffaa:0:1118,1312139256,56564,{"NonceB":3567786832}
17-ffaa:0:1117,1551851837,16590,{"NonceB":2319025583}
17-ffaa:0:111b,3343031402,38029,{"NonceB":433485234}
17-ffaa:0:1117,2307591517,42013,{"NonceB":2690550618}
17-ffaa:0:1117,985375219,53404,{"NonceB":581273080}
17-ffaa:0:111a,599905968,42938,{"NonceB":192337876}
17-ffaa:0:111b,3009421568,25382,{"NonceB":3102327050}
17-ffaa:0:111a,941315075,11248,{"NonceB":1626755003}
17-ffaa:0:111a,3636383290,51744,{"NonceB":1822642418}
17-ffaa:0:111b,236448298,59900,{"NonceB":3718922408}
17-ffaa:0:111a,2816598534,31459,{"NonceB":3925371429}
17-ffaa:0:1117,1936495819,18309,{"NonceB":3481165794}
17-ffaa:0:1118,746309109,54381,{"NonceB":3239804096}
17-ffaa:0:1118,4220426129,4969,{"NonceB":4156207653}
17-ffaa:0:111b,3693534234,14989,{"NonceB":2018595934}
17-ffaa:0:1118,1774600996,26011,{"NonceB":207687714}
17-ffaa:0:111b,3283005006,60628,{"NonceB":4215238671}
17-ffaa:0:111b,463900934,18785,{"NonceB":4026060737}
17-ffaa:0:1118,3683644920,55672,{"NonceB":4118718729}
17-ffaa:0:1118,1909142824,16349,{"NonceB":3788595753}
17-ffaa:0:1117,2038802319,23181,{"NonceB":108067557}
17-ffaa:0:1117,1709290845,61022,{"NonceB":2564067153}
17-ffaa:0:1117,3684705083,21730,{"NonceB":2280511057}
17-ffaa:0:111b,1607563237,31678,{"NonceB":2728319962}
17-ffaa:0:1117,3544761225,38651,{"NonceB":1817233797}
17-ffaa:0:1118,3623302464,25704,{"NonceB":1912149359}
